name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阻截者无人机,diableavionics_warlust_drone,,,,,200,100,300,,100,0,,200,400,400,180,360,35,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
涡流无人机,diableavionics_vortex,,,,,300,125,300,,100,0,,200,400,400,180,360,55,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仲裁,diableavionics_arbitrator,,恶魔航电,diableavionics_booster,,300,50,400,,100,0,,250,250,75,180,360,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,100
仲裁 (Z),diableavionics_arbitratorZ,,恶魔航电,,,350,75,400,,150,0,,200,150,75,90,180,10,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霜冻,diableavionics_frost,,恶魔航电,diableavionics_slash,,800,100,500,,150,0,,200,250,250,90,180,50,NONE,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,6
冲突,diableavionics_strife,,恶魔航电,diableavionics_dakka,,900,125,750,,200,0,,180,180,180,90,90,55,NONE,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,8
白霜,diableavionics_hoar,,恶魔航电,diableavionics_kata,,750,75,750,,200,0,,250,320,240,90,180,55,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
战意,diableavionics_warlust,,恶魔航电,diableavionics_warlust_drone,,1200,125,500,,150,0,,150,150,150,90,180,60,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,7
